,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,20685,FIZ 101,Fizik I,,***,MED,Pazartesi,1430/1729,A12,150,0,Yok/None,"BLG, DUI, EHB, ELE, ELH, ELK, END, FIZM, GEM, GID, GMI, INS, ISL, JEO, KMM, KMMM, KOM, MAT, MET, MTO, TEL, UCKM",Yok/None,Yok/None
1,20689,FIZ 101,Fizik I,,***,MED,Cuma,0830/1129,A12,150,0,Yok/None,"BLG, EHB, ELE, ELH, ELK, END, FIZM, GEM, GID, INS, ISL, JEO, KMM, KMMM, KOM, MAT, MET, MTO, TEL, UCKM",Yok/None,Yok/None
2,23108,FIZ 101E,Physics I,,***,MED,Pazartesi,1430/1729,A32,50,0,Yok/None,"CEN, EEE, IND, MEN, MTM, NAE",Yok/None,Yok/None
3,20695,FIZ 101E,Physics I,,***,MED,Salı,0830/1129,A12,150,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, SEH, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
4,20706,FIZ 101E,Physics I,,***,MED,Çarşamba,0830/1129,A15,150,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, SEH, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
5,20643,FIZ 101E,Physics I,,***,MED,Perşembe,1430/1729,---,150,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, SEH, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
6,20644,FIZ 101E,Physics I,,***,MED,Perşembe,1430/1729,A14,0,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, SEH, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
7,20645,FIZ 101E,Physics I,,***,MED,Perşembe,1430/1729,A13,0,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, SEH, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
8,20707,FIZ 101E,Physics I,,***,MED,Cuma,0830/1129,A32,150,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, SEH, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
9,20646,FIZ 102,Fizik II (Elektrik Fiziği),,***,MED,Perşembe,1430/1729,---,300,0,Yok/None,"BIO, EHB, ELK, END, FIZM, INS, ISL, KOM, MET, UCKM, UZBM",Yok/None,Yok/None
10,20647,FIZ 102,Fizik II (Elektrik Fiziği),,***,MED,Perşembe,1430/1729,A15,0,0,Yok/None,"BIO, EHB, ELK, END, FIZM, INS, ISL, KOM, MET, UCKM, UZBM",Yok/None,Yok/None
11,20648,FIZ 102,Fizik II (Elektrik Fiziği),,***,MED,Perşembe,1430/1729,A31,0,0,Yok/None,"BIO, EHB, ELK, END, FIZM, INS, ISL, KOM, MET, UCKM, UZBM",Yok/None,Yok/None
12,20709,FIZ 102,Fizik II (Elektrik Fiziği),,***,MED,Cuma,0830/1129,A14,0,0,Yok/None,"BIO, EHB, ELK, END, FIZM, INS, ISL, KOM, MET, UCKM, UZBM",Yok/None,Yok/None
13,20649,FIZ 102E,Physics II,,***,MED,Pazartesi,1430/1729,---,300,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
14,20650,FIZ 102E,Physics II,,***,MED,Pazartesi,1430/1729,A11,0,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
15,20652,FIZ 102E,Physics II,,***,MED,Pazartesi,1430/1729,A14,0,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
16,23109,FIZ 102E,Physics II,,***,MED,Pazartesi,1430/1729,A31,150,0,Yok/None,"CEN, EEE, IND, MEN, MTM, NAE",Yok/None,Yok/None
17,20653,FIZ 102E,Physics II,,***,MED,Salı,0830/1129,---,600,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
18,20654,FIZ 102E,Physics II,,***,MED,Salı,0830/1129,A15,0,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
19,20655,FIZ 102E,Physics II,,***,MED,Salı,0830/1129,A31,0,0,Yok/None,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MET, METE, MTO, MTOE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE",Yok/None,Yok/None
