,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22632,INS 101,Teknik Resim,Physical (Face to face),Haluk Emre Alçiçek,INB,Friday,09:30/12:29,--,30,0,-,INS_LS,-,-
1,22638,INS 101E,Technical Drawing,Physical (Face to face),Sibel Gürel,INB,Thursday,13:30/16:29,--,30,0,-,"INS_LS, INSE_LS",-,-
2,22675,INS 102,Statik,Physical (Face to face),Nihal Eratlı,"INB
INB","Tuesday
Wednesday","13:30/15:29
12:30/14:29","--
--",40,0,-,INS_LS,Detail,-
3,22677,INS 102,Statik,Physical (Face to face),Bahattin Kimençe,"INB
INB","Tuesday
Wednesday","13:30/15:29
10:30/12:29","--
--",40,0,-,INS_LS,Detail,-
4,22678,INS 102,Statik,Physical (Face to face),Abdul Hayır,"INB
INB","Wednesday
Friday","13:30/15:29
10:30/12:29","--
--",40,0,-,INS_LS,Detail,-
5,22680,INS 102E,Statics,Physical (Face to face),Semih Küçükarslan,"INB
INB","Thursday
Friday","08:30/10:29
10:30/12:29","--
--",40,0,-,"INS_LS, INSE_LS",Detail,-
6,22683,INS 102E,Statics,Physical (Face to face),Osman Bulut,"INB
INB","Thursday
Friday","08:30/10:29
08:30/10:29","--
--",40,0,-,"INS_LS, INSE_LS",Detail,-
7,22646,INS 107E,Int. to Prog. Lang. (Python),Virtual (Online),Fırat Doğu Akın,INB,Friday,14:00/16:59,--,50,0,-,"INS_LS, INSE_LS",-,-
8,22723,INS 202E,Numerical Methods inCivil Eng.,Physical (Face to face),Atila Sezen,INB,Monday,10:30/12:29,--,60,0,-,"INS_LS, INSE_LS",Detail,-
9,22688,INS 210,İnşaat Mühendisleri için Matematik,Physical (Face to face),Elif Kartal,INB,Tuesday,10:30/12:29,--,50,0,-,INS_LS,Detail,-
10,22691,INS 210E,Mathematics for Civil Engineers,Physical (Face to face),Taha Yüksel,INB,Tuesday,10:30/12:29,--,50,0,-,"INS_LS, INSE_LS",Detail,-
11,22782,INS 214E,Partial Differential Equations,Physical (Face to face),Teoman Özer,INB,Tuesday,09:30/12:29,--,50,0,-,"INS_LS, INSE_LS",-,-
12,22720,INS 215E,Materials Science,Physical (Face to face),Ayda Şafak Ağar Özbek,INB,Wednesday,09:30/12:29,--,50,0,-,"INS_LS, INSE_LS",Detail,-
13,22693,INS 217,Mukavemet I,Physical (Face to face),Teoman Özer,"INB
INB","Wednesday
Thursday","13:30/15:29
10:30/12:29","--
--",45,0,-,INS_LS,Detail,-
14,22697,INS 217E,Strength of Materials I,Physical (Face to face),Pınar Özdemir Çağlayan,"INB
INB","Thursday
Friday","10:30/12:29
14:00/15:59","--
--",45,0,-,"INS_LS, INSE_LS",Detail,-
15,22738,INS 218,Mukavemet II,Physical (Face to face),-,"INB
INB","Wednesday
Friday","13:30/15:29
14:00/15:59","--
--",0,0,-,INS_LS,Detail,-
16,22756,INS 218,Mukavemet II,Physical (Face to face),Fethi Kadıoğlu,"INB
INB","Wednesday
Friday","13:30/15:29
14:00/15:59","--
--",45,0,-,INS_LS,Detail,-
17,22762,INS 218,Mukavemet II,Physical (Face to face),Abdullah Gedikli,"INB
INB","Thursday
Friday","10:30/12:29
10:30/12:29","--
--",45,0,-,INS_LS,Detail,-
18,22765,INS 218E,Strength of Materials II,Physical (Face to face),Hale Ergün,"INB
INB","Wednesday
Friday","13:30/15:29
14:00/15:59","--
--",45,0,-,INSE_LS,Detail,-
19,22774,INS 218E,Strength of Materials II,Physical (Face to face),Ünal Aldemir,"INB
INB","Tuesday
Friday","13:30/15:29
10:30/12:29","--
--",45,0,-,INSE_LS,Detail,-
20,22778,INS 226,Mühendis Matematik Model Esas,Physical (Face to face),Yavuz Selim Güçlü,INB,Tuesday,09:30/12:29,--,50,0,-,INS_LS,-,-
21,22786,INS 230,Yapı Malzemesi,Physical (Face to face),Hasan Nuri Türkmenoğlu,INB,Thursday,13:30/16:29,--,40,0,-,INS_LS,Detail,-
22,22789,INS 230,Yapı Malzemesi,Physical (Face to face),Hasan Yıldırım,INB,Thursday,13:30/16:29,--,40,0,-,INS_LS,Detail,-
23,22791,INS 230,Yapı Malzemesi,Physical (Face to face),Ünal Anıl Doğan,INB,Wednesday,09:30/12:29,--,40,0,-,INS_LS,Detail,-
24,22796,INS 230E,Building Materials,Physical (Face to face),Özkan Şengül,INB,Wednesday,09:30/12:29,--,40,0,-,INSE_LS,Detail,-
25,22799,INS 230E,Building Materials,Physical (Face to face),Özgür Ekincioğlu,INB,Thursday,13:30/16:29,--,40,0,-,INSE_LS,Detail,-
26,22843,INS 232,Ölçme Bilgisi,Physical (Face to face),Adil Enis Arslan,INB,Monday,13:30/16:29,--,60,0,-,INS_LS,-,-
27,22848,INS 232,Ölçme Bilgisi,Physical (Face to face),"Mustafa Yanalak ,
Mehmet İşiler",INB,Tuesday,13:30/16:29,--,60,0,-,INS_LS,-,-
28,22854,INS 232E,Surveying,Physical (Face to face),Hasan Tonbul,INB,Monday,13:30/16:29,--,60,0,-,"INS_LS, INSE_LS",-,-
29,22859,INS 232E,Surveying,Physical (Face to face),"Serdar Bilgi ,
Mustafa Fahri Karabulut",INB,Tuesday,13:30/16:29,--,60,0,-,"INS_LS, INSE_LS",-,-
30,22858,INS 301,Mühendislik Ekonomisi,Physical (Face to face),Fırat Doğu Akın,INB,Thursday,10:30/12:29,--,40,0,-,INS_LS,-,-
31,22862,INS 301E,Engineering Economics,Physical (Face to face),Atilla Damcı,INB,Thursday,10:30/12:29,--,40,0,-,"AIN_LS, INSE_LS",-,-
32,22891,INS 302,Karayolu Mühendisliği,Physical (Face to face),Hüseyin Onur Tezcan,"INB
INB","Wednesday
Friday","10:30/12:29
10:30/12:29","--
--",35,0,-,INS_LS,Detail,-
33,22898,INS 302,Karayolu Mühendisliği,Physical (Face to face),"Şükrüye İyinam ,
Taha Yüksel","INB
INB","Tuesday
Thursday","12:30/14:29
10:30/12:29","--
--",35,0,-,INS_LS,Detail,-
34,22904,INS 302,Karayolu Mühendisliği,Physical (Face to face),"Abdullah Hilmi Lav ,
Hilmi Berk Çelikoğlu",INB,Tuesday,13:00/16:59,--,35,0,-,INS_LS,Detail,-
35,22906,INS 302,Karayolu Mühendisliği,Physical (Face to face),Kemal Selçuk Öğüt,"INB
INB","Tuesday
Thursday","15:30/17:29
15:30/17:29","--
--",35,0,-,INS_LS,Detail,-
36,22907,INS 302E,Highway Engineering,Physical (Face to face),Halit Özen,"INB
INB","Monday
Tuesday","13:00/14:59
09:30/11:29","--
--",35,0,-,"AIN_LS, INSE_LS",Detail,-
37,22916,INS 302E,Highway Engineering,Physical (Face to face),Oğuz Tengilimoğlu,"INB
INB","Tuesday
Wednesday","13:00/14:59
09:30/11:29","--
--",35,0,-,"AIN_LS, INSE_LS",Detail,-
38,22841,INS 303,Zemin Mekaniği I,Physical (Face to face),Ayşegül Bayın Sarıahmetoğlu,"INB
INB","Thursday
Friday","13:30/16:29
10:30/12:29","--
--",40,0,-,INS_LS,Detail,-
39,22844,INS 303E,Soil Mechanics I,Physical (Face to face),"Mustafa Hatipoğlu ,
Ozan Alver","INB
INB","Thursday
Friday","13:30/16:29
10:30/12:29","--
--",40,0,-,"AIN_LS, INS_LS, INSE_LS",Detail,-
