,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21313,MUZ 102,Müzik Tarihi II,Physical (Face to face),Ozan Baysal,TMB,Monday,13:30/15:29,--,20,8,-,MUZ_LS,-,-
1,21304,MUZ 112,Müzikolojiye Giriş,Physical (Face to face),Serkan Şener,TMB,Monday,09:30/12:29,--,20,10,-,MUZ_LS,-,-
2,21330,MUZ 122,Müzik Tarihi II,Physical (Face to face),Şeyma Ersoy Çak,TMB,Friday,16:00/17:59,--,30,21,-,"CAB_LS, CEB_LS, MTR_LS, SES_LS",-,-
3,21332,MUZ 122,Müzik Tarihi II,Physical (Face to face),Yalçın Çetinkaya,TMB,Monday,15:30/17:29,--,30,30,-,"CAB_LS, CEB_LS, MTR_LS, SES_LS",-,-
4,25159,MUZ 201,Müzik Tarihi III,Physical (Face to face),Şeyma Ersoy Çak,"TMB
TMB","Friday
Friday","08:30/10:29
14:00/14:59","--
--",10,1,-,MUZ_LS,-,-
5,21306,MUZ 202,Müzik Tarihi IV,Physical (Face to face),Günay Koçhan,TMB,Friday,14:00/16:59,--,20,13,-,MUZ_LS,-,-
6,21321,MUZ 212,Osmanlıca II,Physical (Face to face),Serhan Dilhan Konan,"TMB
TMB","Tuesday
Wednesday","08:30/09:29
10:30/12:29","--
--",25,13,-,MUZ_LS,Detail,-
7,21302,MUZ 222,Müzik Paleografyası,Physical (Face to face),Serhan Dilhan Konan,TMB,Tuesday,09:30/12:29,--,25,12,-,MUZ_LS,-,-
8,21308,MUZ 302,Müzik Tarihi VI,Physical (Face to face),Serhan Dilhan Konan,TMB,Monday,09:30/12:29,--,20,15,-,MUZ_LS,-,-
9,21298,MUZ 312,Dünya Müzik Kültürlerine Giriş,Physical (Face to face),Serkan Şener,TMB,Thursday,08:30/10:29,--,20,18,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",-,-
10,21339,MUZ 316,Halk Müziği Literatürü II,Physical (Face to face),Süleyman Şenel,TMB,Monday,08:30/10:29,--,10,2,-,"BST_LS, KMP_LS",-,-
11,21285,MUZ 322,Alan Araştırma Metodları,Physical (Face to face),Eray Cömert,TMB,Tuesday,13:30/16:29,--,20,8,-,"CAB_LS, CEB_LS, MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",-,-
