,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20780,BEB 101,Temel Yüzme Becerisi Öğrenimi,Fiziksel (Yüz yüze),Burak Gönültaş,HVZ,Wednesday,10:30/12:29 -,--,12,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
1,20781,BEB 101,Temel Yüzme Becerisi Öğrenimi,Fiziksel (Yüz yüze),Burak Gönültaş,HVZ,Wednesday,13:30/15:29 -,--,12,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
2,20765,BEB 102,Yüzme Teknikleri Becerisi Öğr.,Fiziksel (Yüz yüze),Damla Ercan Köse,HVZ,Friday,08:30/10:29 -,--,12,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
3,20766,BEB 102,Yüzme Teknikleri Becerisi Öğr.,Fiziksel (Yüz yüze),Damla Ercan Köse,HVZ,Friday,14:00/15:59 -,--,12,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
4,20779,BEB 102,Yüzme Teknikleri Becerisi Öğr.,Fiziksel (Yüz yüze),Burak Gönültaş,HVZ,Tuesday,15:30/17:29 -,--,12,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
5,20783,BEB 102,Yüzme Teknikleri Becerisi Öğr.,Fiziksel (Yüz yüze),Yaşar Volkan Arıncı,HVZ,Tuesday,08:30/10:29 -,--,12,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
6,20784,BEB 102,Yüzme Teknikleri Becerisi Öğr.,Fiziksel (Yüz yüze),Yaşar Volkan Arıncı,HVZ,Wednesday,08:30/10:29 -,--,12,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
7,20759,BEB 103,Voleybolda Tem.Eğt. ve Bec.Kaz,Fiziksel (Yüz yüze),Serra Ayşe Çakar Saka,SLN-M,Friday,08:30/10:29 -,--,25,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
8,20760,BEB 103,Voleybolda Tem.Eğt. ve Bec.Kaz,Fiziksel (Yüz yüze),Serra Ayşe Çakar Saka,SLN-M,Friday,10:30/12:29 -,--,25,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
9,20746,BEB 104,Tenis Teknik ve Taktik Eğitim,Fiziksel (Yüz yüze),Aylin Öztürk,KORT,Tuesday,13:30/15:29 -,--,14,0,-,BIO_LS; BLG_LS; BST_LS; CAB_3T_LS; CAB_4T_LS; CAB_BG_LS; CAB_DL_LS; CAB_DS_LS; CAB_KA_LS; CAB_KE_LS; CAB_KL_LS; CAB_KM_LS; CAB_KO_LS; CAB_LS; CAB_ME_LS; CAB_NE_LS; CAB_TN_LS; CAB_UD_LS; CAB_VC_LS; CAB_VI_LS; CAB_VS_LS; CEB_LS; CEV_LS; CHZ_LS; DEN_LS; EHB_LS; ELE_LS; ELH_LS; ELK_LS; ENT_LS; EUT_LS; FIZ_LS; GEM_LS; GID_LS; HTA_LS; ICM_LS; IML_LS; INS_LS; ISL_LS; JEF_LS; KIM_LS; KMM_LS; KMP_LS; KON_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; MIM_LS; MTR_LS; MUT_LS; MUZ_LS; MZT_LS; PEM_LS; PET_LS; ROS_LS; SBP_LS; SES_LS; SES_TH_LS; SES_TS_LS; TEB_LS; TEK_LS; TEL_LS; THO_LS; UCK_LS; UZB_LS,-,-
