,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,13347,MAK 101,Makina Müh. Giriş ve Etik,,İsmail Yalçın Uralcan,MKB,Çarşamba,1330/1529,KS,250,198,Yok/None,"MAK, MAKM",Yok/None,Yok/None
1,13348,MAK 104E,Intr to Comp in Mech. Eng (C),,Bülent Bölat,MKB,Pazartesi,0830/1129,406,50,15,Yok/None,"IML, MAK",Yok/None,Yok/None
2,13349,MAK 104E,Intr to Comp in Mech. Eng (C),,Bülent Bölat,MKB,Salı,0830/1129,406,50,7,Yok/None,"IML, MAK",Yok/None,Yok/None
3,13350,MAK 104E,Intr to Comp in Mech. Eng (C),,Hülya Yalçın,MKB,Çarşamba,0830/1129,406,50,43,Yok/None,"IML, MAK",Yok/None,Yok/None
4,13351,MAK 104E,Intr to Comp in Mech. Eng (C),,Kubilay Yay,MKB,Perşembe,0830/1129,406,50,50,Yok/None,"IML, MAK",Yok/None,Yok/None
5,13352,MAK 104E,Intr to Comp in Mech. Eng (C),,Atakan Altınkaynak,MKB,Cuma,0830/1129,406,50,24,Yok/None,"IML, MAK",Yok/None,Yok/None
6,15263,MAK 107,Makina Tasarımına Giriş,,Cevat Erdem İmrak,MKB,Perşembe,0830/1129,R354,60,0,Yok/None,"IML, MAK",Yok/None,Yok/None
7,15264,MAK 107,Makina Tasarımına Giriş,,Serpil Kurt Habiboğlu,MKB,Perşembe,0830/1129,R358,60,0,Yok/None,"IML, MAK",Yok/None,Yok/None
8,15265,MAK 107,Makina Tasarımına Giriş,,Yusuf Ziya Kocabal,MKB,Perşembe,0830/1129,R362,60,0,Yok/None,"IML, MAK",Yok/None,Yok/None
9,15266,MAK 107,Makina Tasarımına Giriş,,Yusuf Ziya Kocabal,MKB,Cuma,0830/1129,R358,60,0,Yok/None,"IML, MAK",Yok/None,Yok/None
10,13357,MAK 110E,Comput.Aided Technical Drawing,,Atakan Altınkaynak,MKB,Çarşamba,0830/1229,409,60,14,Yok/None,"IML, MAK, MKN","RES 105 MIN DD
veya RES 105E MIN DD
veya MAK 105 MIN DD
veya MAK 105E MIN DD",Yok/None
11,13358,MAK 110E,Comput.Aided Technical Drawing,,Ali İmre Aydeniz,MKB,Perşembe,0830/1229,409,60,26,Yok/None,"IML, MAK, MKN","RES 105 MIN DD
veya RES 105E MIN DD
veya MAK 105 MIN DD
veya MAK 105E MIN DD",Yok/None
12,13359,MAK 110E,Comput.Aided Technical Drawing,,Erkan Günpınar,MKB,Cuma,0830/1229,409,60,36,Yok/None,"IML, MAK, MKN","RES 105 MIN DD
veya RES 105E MIN DD
veya MAK 105 MIN DD
veya MAK 105E MIN DD",Yok/None
13,13360,MAK 114,Lineer Cebir ve Uygulamaları,,Sinem Öztürk,"MKB
MKB","Salı
Perşembe","1030/1229
1530/1629","A501
A501",120,73,Yok/None,"IML, MAK",Yok/None,Yok/None
14,13361,MAK 118,Statik,,Ali İmre Aydeniz,"MKB
MKB","Salı
Perşembe","1330/1529
1630/1729","R362
R362",60,43,Yok/None,"MAK, MKN",Yok/None,Yok/None
15,13362,MAK 118,Statik,,Sevinç Ayşe Zaloğlu,"MKB
MKB","Salı
Perşembe","1330/1529
1630/1729","R358
R358",60,58,Yok/None,"MAK, MKN",Yok/None,Yok/None
16,15267,MAK 198,Atölye: İşSağ.&Güv. Mak.Elema.,,Serpil Kurt Habiboğlu,MKB,Salı,0830/1029,R354,80,0,Yok/None,"IML, MAK",Yok/None,Yok/None
17,15268,MAK 198,Atölye: İşSağ.&Güv. Mak.Elema.,,Yusuf Ziya Kocabal,MKB,Salı,0830/1029,R358,80,0,Yok/None,"IML, MAK",Yok/None,Yok/None
18,15269,MAK 198,Atölye: İşSağ.&Güv. Mak.Elema.,,İsmail Yalçın Uralcan,MKB,Salı,0830/1029,R362,80,0,Yok/None,"IML, MAK",Yok/None,Yok/None
19,15270,MAK 198,Atölye: İşSağ.&Güv. Mak.Elema.,,"Cevat Erdem İmrak, Adem Candaş",MKB,Çarşamba,0830/1029,R358,80,0,Yok/None,"IML, MAK",Yok/None,Yok/None
20,13363,MAK 200,Atölye,,Serpil Kurt Habiboğlu,MKB,----,/,---,60,5,Yok/None,"IML, MAK","RES 105 MIN DD
veya RES 105E MIN DD
veya MAK 105 MIN DD
veya MAK 105E MIN DD",Yok/None
21,13364,MAK 200,Atölye,,Yusuf Ziya Kocabal,MKB,----,/,---,60,43,Yok/None,"IML, MAK","RES 105 MIN DD
veya RES 105E MIN DD
veya MAK 105 MIN DD
veya MAK 105E MIN DD",Yok/None
22,13365,MAK 202E,Numerical Meth.for Mech. Eng.,,Alper Tolga Çalık,"MKB
MKB","Pazartesi
Perşembe","0830/1029
1230/1329","409
409",60,60,Yok/None,"IML, MAK","MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD",Yok/None
23,13366,MAK 202E,Numerical Meth.for Mech. Eng.,,Sertaç Çadırcı,"MKB
MKB","Pazartesi
Perşembe","0830/1029
1230/1329","404
404",60,40,Yok/None,"IML, MAK","MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD",Yok/None
24,13367,MAK 210E,Engineering Mathematics,,Hakan Öksüzoğlu,"MKB
MKB","Çarşamba
Perşembe","1330/1529
1330/1529","R354
R354",60,60,Yok/None,"IML, IMLE, MAK, MAKE","MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD",Yok/None
25,13368,MAK 210E,Engineering Mathematics,,Umut Şahin,"MKB
MKB","Çarşamba
Perşembe","1330/1529
1330/1529","R358
R358",60,40,Yok/None,"IML, IMLE, MAK, MAKE","MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD",Yok/None
26,13369,MAK 210E,Engineering Mathematics,,Adem Candaş,"MKB
MKB","Çarşamba
Perşembe","1330/1529
1330/1529","R362
R362",60,60,Yok/None,"IML, IMLE, MAK, MAKE","MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD",Yok/None
27,13370,MAK 211E,Probability and Statistics,,Hakan Öksüzoğlu,MKB,Salı,0930/1229,D317,80,7,Yok/None,"IML, MAK",Yok/None,Yok/None
28,14891,MAK 211E,Probability and Statistics,,Adem Candaş,MKB,Cuma,1430/1729,D380B,40,34,Yok/None,"IML, MAK",Yok/None,Yok/None
29,13371,MAK 213,Malzeme Bilimi,,Levent Trabzon,"MKB
MKB","Pazartesi
Cuma","1530/1729
1530/1729","D318
D318",100,100,Yok/None,"IML, MAK",Yok/None,Yok/None
30,13372,MAK 213,Malzeme Bilimi,,Celaletdin Ergun,"MKB
MKB","Pazartesi
Cuma","1530/1729
1530/1729","A201
A201",100,84,Yok/None,"IML, MAK",Yok/None,Yok/None
31,13373,MAK 215,Termodinamik I,,Ayşegül Abuşoğlu,"MKB
MKB","Salı
Cuma","1530/1729
1430/1529","A363
A363",80,49,Yok/None,MAK,"(MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD)
ve (FIZ 101 MIN DD
veya FIZ 101E MIN DD)",Yok/None
32,13374,MAK 215,Termodinamik I,,Mustafa Özdemir,"MKB
MKB","Salı
Cuma","1530/1729
1430/1529","A101
A101",80,80,Yok/None,MAK,"(MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD)
ve (FIZ 101 MIN DD
veya FIZ 101E MIN DD)",Yok/None
33,13375,MAK 215,Termodinamik I,,Yakup Erhan Böke,"MKB
MKB","Salı
Cuma","1530/1729
1430/1529","A201
A201",80,80,Yok/None,MAK,"(MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD)
ve (FIZ 101 MIN DD
veya FIZ 101E MIN DD)",Yok/None
34,13376,MAK 217,Dinamik,,Ata Muğan,"MKB
MKB","Pazartesi
Cuma","1330/1529
1030/1229","D318
D318",90,90,Yok/None,"MAK, MAKM, MKN","(FIZ 101 MIN DD
veya FIZ 101E MIN DD)
ve (STA 201 MIN DD
veya STA 201E MIN DD
veya MAK 118 MIN DD
veya MAK 118E MIN DD)",Yok/None
35,13377,MAK 217,Dinamik,,Mehmet Salih Dokuz,"MKB
MKB","Pazartesi
Cuma","1330/1529
1030/1229","A201
A201",90,69,Yok/None,"MAK, MAKM, MKN","(FIZ 101 MIN DD
veya FIZ 101E MIN DD)
ve (STA 201 MIN DD
veya STA 201E MIN DD
veya MAK 118 MIN DD
veya MAK 118E MIN DD)",Yok/None
36,13378,MAK 219,Mukavemet I,,Emin Sünbüloğlu,"MKB
MKB","Salı
Perşembe","1330/1529
1530/1729","A101
A101",60,60,Yok/None,"MAK, MKN","MAK 118 MIN DD
veya MAK 118E MIN DD
veya STA 201 MIN DD
veya STA 201E MIN DD
veya STA 202 MIN DD
veya STA 202E MIN DD
veya STA 204 MIN DD
veya STA 204E MIN DD",Yok/None
37,13379,MAK 219,Mukavemet I,,Süreyya Ergün Bozdağ,"MKB
MKB","Salı
Perşembe","1330/1529
1530/1729","A201
A201",60,17,Yok/None,"MAK, MKN","MAK 118 MIN DD
veya MAK 118E MIN DD
veya STA 201 MIN DD
veya STA 201E MIN DD
veya STA 202 MIN DD
veya STA 202E MIN DD
veya STA 204 MIN DD
veya STA 204E MIN DD",Yok/None
38,13380,MAK 219,Mukavemet I,,Ekrem Tüfekci,"MKB
MKB","Salı
Perşembe","1330/1529
1530/1729","A363
A363",60,60,Yok/None,"MAK, MKN","MAK 118 MIN DD
veya MAK 118E MIN DD
veya STA 201 MIN DD
veya STA 201E MIN DD
veya STA 202 MIN DD
veya STA 202E MIN DD
veya STA 204 MIN DD
veya STA 204E MIN DD",Yok/None
39,13381,MAK 220,Mukavemet II,,Adil Yücel,"MKB
MKB","Salı
Perşembe","1330/1529
1530/1729","D318
D318",120,112,Yok/None,"MAK, MKN","MAK 219 MIN DD
veya MAK 219E MIN DD
veya MUK 209 MIN DD
veya MUK 209E MIN DD",Yok/None
40,13384,MAK 224E,Engineering Materials,,Ali Gökşenli,MKB,Cuma,1530/1729,D368A,40,20,Yok/None,"IML, MAK","(MAK 213 MIN DD
veya MAK 213E MIN DD
veya MAL 201 MIN DD
veya MAL 201E MIN DD)
ve (MAK 200 MIN DD
veya MAK 200E MIN DD)",Yok/None
41,13385,MAK 224E,Engineering Materials,,Ersan Üstündağ,MKB,Cuma,1530/1729,D368B,40,40,Yok/None,"IML, MAK","(MAK 213 MIN DD
veya MAK 213E MIN DD
veya MAL 201 MIN DD
veya MAL 201E MIN DD)
ve (MAK 200 MIN DD
veya MAK 200E MIN DD)",Yok/None
