,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,13199,DNK 201,Dinamik,,Nihal Eratlı,INB,Pazartesi,0930/1229,A301,50,33,Yok/None,INS,"(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
1,11916,DNK 201,Dinamik,,Özge Özdemir,UUB,Pazartesi,1430/1729,D-Z09,60,60,Yok/None,"UCK, UCKM, UZB, UZBM","(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
2,12199,DNK 201,Dinamik,,Abdullah Gedikli,EEB,Salı,1230/1529,5101,50,50,Yok/None,"EHB, ELE, ELH, ELK, KOM, KON, TEL","(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
3,13200,DNK 201,Dinamik,,Semih Küçükarslan,INB,Cuma,1400/1659,A102,50,44,Yok/None,INS,"(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
4,13201,DNK 201,Dinamik,,Şenol Ataoğlu,INB,Cuma,1400/1659,A303,50,16,Yok/None,INS,"(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
5,12200,DNK 201E,Dynamics,,Akif Kutlu,EEB,Pazartesi,0930/1229,5101,50,50,Yok/None,"EHB, EHBE, ELK, ELKE, KOM, KOME","(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
6,13202,DNK 201E,Dynamics,,Abdul Hayır,INB,Pazartesi,1400/1659,B205,50,30,Yok/None,"INS, INSE","(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
7,11876,DNK 201E,Dynamics,,Bülent Tutkun,UUB,Pazartesi,1430/1729,D-Z08,70,70,Yok/None,"UCK, UCKE, UCKM, UZB, UZBE, UZBM","(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
8,11878,DNK 201E,Dynamics,,Cemil Kurtcebe,UUB,Pazartesi,1430/1729,D214,70,30,Yok/None,"UCK, UCKE, UCKM, UZB, UZBE, UZBM","(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
9,12033,DNK 201E,Dynamics,,Ceren Bilgin Güney,GDB,Perşembe,0930/1229,D311,60,49,Yok/None,"DEN, DENE","(FIZ 101 MIN DD
veya FIZ 101E MIN DD
veya FIZ 111 MIN DD
veya FIZ 111E MIN DD
veya FIZ 113 MIN DD
veya FIZ 113E MIN DD
veya GMI 103 MIN DD
veya GUV 103 MIN DD)
ve (MAT 101 MIN DD
veya MAT 101E MIN DD
veya MAT 103 MIN DD
veya MAT 103E MIN DD
veya GMI 099 MIN DD
veya GUV 099 MIN DD
veya MAT 111 MIN DD
veya MAT 111E MIN DD)",Yok/None
