,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21441,MTO 102,Bilgisayarlı Teknik Resim,Physical (Face to face),Hüsnü Barbaros Soyer,INB,Thursday,13:30/16:29,D104,80,50,-,"IBM_LS, MTO_LS",-,-
1,21557,MTO 112,Meteoroloji Alet & Gözlem Usul,Physical (Face to face),"Levent Şaylan ,
Barış Çaldağ","MEDC
MEDC","Tuesday
Thursday","09:30/11:29
09:30/11:29","ZA4
ZA2",90,73,-,"IBM_LS, MTO_LS",-,-
2,21444,MTO 214,Atmosfer Termodinamiği,Physical (Face to face),Kasım Koçak,"MEDC
MEDC","Monday
Tuesday","11:30/13:29
12:30/14:29","ZD2
2D11",60,60,-,"IBM_LS, MTO_LS",-,-
3,21447,MTO 214E,Atmospheric Thermodynamics,Physical (Face to face),Ahmet Duran Şahin,"MEDC
MEDC","Monday
Tuesday","11:30/13:29
12:30/14:29","1D10
2D12",50,26,-,"IBM_LS, MTO_LS, MTOE_LS",-,-
4,21443,MTO 222,Hidroloji,Physical (Face to face),Barış Çaldağ,"MEDC
MEDC","Thursday
Friday","14:30/16:29
08:30/10:29","ZD1
ZD1",100,95,-,"IBM_LS, MTO_LS",Detail,-
5,21467,MTO 223,Bilgisayar Grafiğine Giriş,Physical (Face to face),Barış Önol,MEDC,Friday,14:30/17:29,3D20,70,42,-,"IBM_LS, MTO_LS",-,-
6,21461,MTO 229E,Physics ofClouds&Precipitation,Physical (Face to face),Sevinç Asilhan,MEDC,Thursday,11:30/14:29,ZA1,15,14,-,"IBM_LS, MTO_LS, MTOE_LS",Detail,-
7,21457,MTO 254,İklim Bilimi,Physical (Face to face),Yurdanur Ünal,MEDC,Tuesday,14:30/17:29,1D3,45,48,-,"IBM_LS, MTO_LS, MTO_YD",-,-
8,21458,MTO 254E,Climatology,Physical (Face to face),Barış Önol,MEDC,Tuesday,14:30/17:29,1D4,45,46,-,"IBM_LS, MTO_LS, MTO_YD, MTOE_LS",-,-
9,21462,MTO 302,Hava Analizi ve Öngörü I,Physical (Face to face),Şükran Sibel Menteş,"MEDC
MEDC","Tuesday
Thursday","09:30/11:29
08:30/10:29","ZD1
ZD1",60,43,-,"IBM_LS, MTO_LS",Detail,-
10,21460,MTO 304,Havacılık Meteorolojisi,Physical (Face to face),Emrah Tuncay Özdemir,MEDC,Monday,11:30/13:29,ZA1,75,30,-,"IBM_LS, MTO_LS",-,-
11,25510,MTO 317E,Comput.Fluid Dyn.in Meteo.Eng.,Ek Sınav,Elçin Tan,-,-,-/-,-,0,0,-,-,Detail,-
12,21463,MTO 337E,Atmospheric Dynamics I,Physical (Face to face),Elçin Tan,"MEDC
MEDC","Monday
Wednesday","15:30/17:29
11:30/13:29","ZD2
2D11",40,29,-,"IBM_LS, MTO_LS, MTOE_LS",-,-
13,21464,MTO 340,Atmosfer Dinamiği II,Physical (Face to face),"Ali Deniz ,
Bahtiyar Efe","MEDC
MEDC","Monday
Wednesday","15:30/17:29
11:30/13:29","1D3
2D12",50,43,-,"IBM_LS, MTO_LS",Detail,-
14,21465,MTO 340E,Atmospheric Dynamics II,Physical (Face to face),-,"MEDC
MEDC","Monday
Wednesday","15:30/17:29
11:30/13:29","--
--",0,0,-,"IBM_LS, MTO_LS, MTOE_LS",Detail,-
15,25009,MTO 351E,Hydrometeorology,Physical (Face to face),"Sevinç Asilhan ,
Elçin Tan",MEDC,Thursday,14:30/17:29,2D16,10,1,-,"IBM_LS, MTO_LS, MTOE_LS",-,-
16,21520,MTO 354,Tarım & Orman Meteorolojisi II,Physical (Face to face),Levent Şaylan,MEDC,Monday,08:30/11:29,2D15,15,10,-,"IBM_LS, MTO_LS",-,-
17,21521,MTO 361,Hava Kirliliği Modellemesi,Physical (Face to face),Hüseyin Toros,MEDC,Thursday,08:30/11:29,1D6,25,25,-,"IBM_LS, MTO_LS",-,-
18,21517,MTO 362,İnsans.Hava Sis.ile Meteo.Uyg.,Physical (Face to face),"Emrah Tuncay Özdemir ,
Orkan Özcan",MEDC,Tuesday,11:30/14:29,1D5,15,16,-,"IBM_LS, MTO_LS",-,-
19,21508,MTO 388,Coğrafi Bilgi Bilimi,Physical (Face to face),Filiz Türk Katırcıoğlu,INB,Friday,09:30/12:29,D101,35,38,-,"IBM_LS, MTO_LS",-,-
